IP Address,MAC Address,Host Name,Status,Device Type,DNS Status,Last Alive Time,Location,Description
"172.16.0.1",-,"gateway-3","AVAILABLE","ROUTER","Forward & Reverse OK","N/A",-,-
"172.16.0.10",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.100",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.101",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.102",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.103",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.104",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.105",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.106",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.107",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.108",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.109",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.11",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.110",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.111",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.112",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.113",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.114",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.115",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.116",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.117",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.118",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.119",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.12",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.120",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.121",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.122",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.123",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.124",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.125",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.126",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.127",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.128",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
"172.16.0.129",-,-,"AVAILABLE",-,"Forward & Reverse OK","N/A",-,-
